*Airport,Link_Id,Node1_Id,Node1_Longitude,Node1_Latitude,Node1_Altitude,Node1_Type,Node2_Id,Node2_Longitude,Node2_Latitude,Node2_Altitude,Node2_Type,Link_Type
RKPC,RKPC-25=TX42,RKPC-25,126.4975890223668,33.51484896273685,0,Runway,RKPC-TX42,126.4985254758227,33.51335625066661,0,Taxiway,Taxiway
RKPC,RKPC-25=RWY1,RKPC-25,126.4975890223668,33.51484896273685,0,Runway,RKPC-RWY1,126.4963927712756,33.51420834355449,0,Runway,Runway
RKPC,RKPC-RWY1=RWY2,RKPC-RWY1,126.4963927712756,33.51420834355449,0,Runway,RKPC-RWY2,126.4941498238018,33.51308492636926,0,Runway,Runway
RKPC,RKPC-RWY1=TX43,RKPC-RWY1,126.4963927712756,33.51420834355449,0,Runway,RKPC-TX43,126.4971226241434,33.51356296190049,0,Taxiway,Taxiway
RKPC,RKPC-RWY2=TX39,RKPC-RWY2,126.4941498238018,33.51308492636926,0,Runway,RKPC-TX39,126.495771586978,33.51193185652798,0,Taxiway,Taxiway
RKPC,RKPC-RWY2=RWY3,RKPC-RWY2,126.4941498238018,33.51308492636926,0,Runway,RKPC-RWY3,126.4926865624265,33.51230271296367,0,Runway,Runway
RKPC,RKPC-RWY3=RWY13,RKPC-RWY3,126.4926865624265,33.51230271296367,0,Runway,RKPC-RWY13,126.4943713384918,33.51126660323386,0,Runway,Runway
RKPC,RKPC-RWY3=RWY4,RKPC-RWY3,126.4926865624265,33.51230271296367,0,Runway,RKPC-RWY4,126.4875589536131,33.50975428306673,0,Runway,Runway
RKPC,RKPC-RWY3=13,RKPC-RWY3,126.4926865624265,33.51230271296367,0,Runway,RKPC-13,126.4878577318616,33.51519576295382,0,Runway,Runway
RKPC,RKPC-RWY4=TX35,RKPC-RWY4,126.4875589536131,33.50975428306673,0,Runway,RKPC-TX35,126.4910606397363,33.51023351233777,0,Taxiway,Taxiway
RKPC,RKPC-RWY4=RWY5,RKPC-RWY4,126.4875589536131,33.50975428306673,0,Runway,RKPC-RWY5,126.485011246094,33.50835367915723,0,Runway,Runway
RKPC,RKPC-RWY5=RWY6,RKPC-RWY5,126.485011246094,33.50835367915723,0,Runway,RKPC-RWY6,126.4830951568304,33.50736373249933,0,Runway,Runway
RKPC,RKPC-RWY5=TX27,RKPC-RWY5,126.485011246094,33.50835367915723,0,Runway,RKPC-TX27,126.4882946049147,33.50882896184709,0,Taxiway,Taxiway
RKPC,RKPC-RWY6=TX22,RKPC-RWY6,126.4830951568304,33.50736373249933,0,Runway,RKPC-TX22,126.4856169594846,33.50762988281966,0,Taxiway,Taxiway
